Participant,Ride Number,Scenario,Average BPM,RMSSD,SDSD,SDNN,PNN50,Baseline BPM,Substraction BPM,Baseline RMSSD,Substraction RMSSD,Baseline SDNN,Substraction SDNN,Baseline SDSD,Substraction SDSD,Baseline PNN50,Substraction PNN50
1,1,1,74.0512,0.0297,0.0296,0.0532,5.0,52.5938,21.4573,0.1411,0.1114,0.117,0.0639,0.8037,0.7741,0.0537,4.9463
1,1,2,72.8475,0.4792,0.4774,0.3402,24.0,52.5938,20.2537,0.1411,0.3381,0.117,0.2231,0.8037,0.3263,0.0537,23.9463
1,1,3,76.7832,0.0367,0.0367,0.0339,10.0,52.5938,24.1893,0.1411,0.1044,0.117,0.0831,0.8037,0.767,0.0537,9.9463
1,1,4,85.9232,0.0281,0.028,0.0472,0.0,52.5938,33.3293,0.1411,0.113,0.117,0.0699,0.8037,0.7757,0.0537,0.0537
1,1,5,80.3907,0.0343,0.0335,0.0451,11.1111,52.5938,27.7968,0.1411,0.1068,0.117,0.072,0.8037,0.7702,0.0537,11.0574
1,1,6,73.7358,0.0347,0.0346,0.0404,2.439,52.5938,21.1419,0.1411,0.1064,0.117,0.0767,0.8037,0.7691,0.0537,2.3853
1,1,7,75.0804,0.0376,0.0376,0.0539,5.8824,52.5938,22.4865,0.1411,0.1035,0.117,0.0632,0.8037,0.7661,0.0537,5.8286
1,2,1,74.0512,0.021,0.021,0.2907,2.5,52.5938,21.4573,0.1411,0.1201,0.117,0.1737,0.8037,0.7827,0.0537,2.4463
1,2,2,72.8475,0.3388,0.3379,0.3963,12.0,52.5938,20.2537,0.1411,0.1977,0.117,0.2792,0.8037,0.4658,0.0537,11.9463
1,2,3,76.7832,0.026,0.026,0.2779,5.0,52.5938,24.1893,0.1411,0.1151,0.117,0.1608,0.8037,0.7777,0.0537,4.9463
1,2,4,85.9232,0.0198,0.0198,0.2491,0.0,52.5938,33.3293,0.1411,0.1213,0.117,0.1321,0.8037,0.7839,0.0537,0.0537
1,2,5,80.3907,0.0242,0.0239,0.2684,5.5556,52.5938,27.7968,0.1411,0.1169,0.117,0.1514,0.8037,0.7798,0.0537,5.5018
1,2,6,73.7358,0.0246,0.0245,0.2921,1.2195,52.5938,21.1419,0.1411,0.1165,0.117,0.175,0.8037,0.7792,0.0537,1.1658
1,2,7,75.0804,0.0266,0.0266,0.2846,2.9412,52.5938,22.4865,0.1411,0.1145,0.117,0.1676,0.8037,0.7771,0.0537,2.8874
2,1,1,74.0512,0.0171,0.0171,0.3179,1.6667,52.5938,21.4573,0.1411,0.124,0.117,0.2009,0.8037,0.7866,0.0537,1.6129
2,1,2,72.8475,0.2767,0.2761,0.3971,8.0,52.5938,20.2537,0.1411,0.1356,0.117,0.28,0.8037,0.5276,0.0537,7.9463
2,1,3,76.7832,0.0212,0.0212,0.3036,3.3333,52.5938,24.1893,0.1411,0.1199,0.117,0.1866,0.8037,0.7825,0.0537,3.2796
2,1,4,85.9232,0.0162,0.0162,0.2723,0.0,52.5938,33.3293,0.1411,0.1249,0.117,0.1553,0.8037,0.7875,0.0537,0.0537
2,1,5,80.3907,0.0198,0.0196,0.2939,3.7037,52.5938,27.7968,0.1411,0.1213,0.117,0.1769,0.8037,0.7841,0.0537,3.65
2,1,6,73.7358,0.0201,0.02,0.3186,0.813,52.5938,21.1419,0.1411,0.121,0.117,0.2015,0.8037,0.7837,0.0537,0.7593
2,1,7,75.0804,0.0217,0.0217,0.3116,1.9608,52.5938,22.4865,0.1411,0.1194,0.117,0.1945,0.8037,0.782,0.0537,1.907
2,2,1,74.0512,0.0148,0.0148,0.3107,1.25,52.5938,21.4573,0.1411,0.1263,0.117,0.1936,0.8037,0.7889,0.0537,1.1963
2,2,2,72.8475,0.2396,0.2392,0.3778,6.0,52.5938,20.2537,0.1411,0.0985,0.117,0.2607,0.8037,0.5645,0.0537,5.9463
2,2,3,76.7832,0.0184,0.0184,0.2965,2.5,52.5938,24.1893,0.1411,0.1227,0.117,0.1795,0.8037,0.7853,0.0537,2.4463
2,2,4,85.9232,0.014,0.014,0.2661,0.0,52.5938,33.3293,0.1411,0.1271,0.117,0.1491,0.8037,0.7897,0.0537,0.0537
2,2,5,80.3907,0.0171,0.017,0.2874,2.7778,52.5938,27.7968,0.1411,0.124,0.117,0.1704,0.8037,0.7867,0.0537,2.724
2,2,6,73.7358,0.0174,0.0173,0.3108,0.6098,52.5938,21.1419,0.1411,0.1237,0.117,0.1938,0.8037,0.7864,0.0537,0.556
2,2,7,75.0804,0.0188,0.0188,0.3047,1.4706,52.5938,22.4865,0.1411,0.1223,0.117,0.1877,0.8037,0.7849,0.0537,1.4168
